category,subcategory,search_string
Home,Water purifiers,UF
Home,Water purifiers,RO+UV
Home,Water purifiers,UF+UV
Indoor Games,Water Geysers,Water Geysers
Indoor Games,Water Geysers,IS
Indoor Games,Water Geysers,SS
Pump,Monitors,Monitors
Pump,Monitors,IPS
Pump,Monitors,VA
Pump,Monitors,TN
Balloons,External HDD,External HDD
Balloons,External HDD,HDD
nan,DSLR & Mirrorless,DSLR & Mirrorless
nan,DSLR & Mirrorless,DSLR
nan,DSLR & Mirrorless,APS-C
nan,DSLR & Mirrorless,FF
nan,DSLR & Mirrorless,RF
nan,DSLR & Mirrorless,EF
Hats,Routers,Routers
Hats,Routers,Wi-Fi
Hats,Routers,WPA
Hats,Routers,WEP
Hats,Routers,WPS
Hats,Routers,NAT
School Supplies,Remote Control Toys,Remote Control Toys
School Supplies,Remote Control Toys,RC
Baby Feeding Bottle & Accessories,Puzzles and Cubes,Puzzles and Cubes
Baby Feeding Bottle & Accessories,Puzzles and Cubes,3D
Baby Pain Relief,Remote Control Aeroplane and Helicopters,Remote Control Aeroplane and Helicopters
Baby Pain Relief,Remote Control Aeroplane and Helicopters,RC
nan,Body and Face Care,Body and Face Care
nan,Body and Face Care,SPF
nan,Body and Face Care,AHA
nan,Body and Face Care,BHA
nan,Body and Face Care,Retinol
nan,Fastrack True Wireless,Fastrack True Wireless
nan,Fastrack True Wireless,TWS
nan,Cycles,Cycles
nan,Cycles,MTB
nan,Cycles,BMX
nan,Perfume,Perfume
nan,Perfume,EDP
nan,Perfume,EDT
nan,Protein Supplement,Protein Supplement
nan,Protein Supplement,WPC
nan,Protein Supplement,WPI
nan,Protein Supplement,ISO
nan,Protein Supplement,GMP
nan,Automotive Accessories,Automotive Accessories
nan,Automotive Accessories,ABS
nan,Automotive Accessories,ECU
nan,Automotive Accessories,TPMS
nan,Helmets and Riding Gear,Helmets and Riding Gear
nan,Helmets and Riding Gear,ECE
nan,Helmets and Riding Gear,DOT
nan,Helmets and Riding Gear,ECE R22.05
nan,Car Media Players,Car Media Players
nan,Car Media Players,AVN
nan,Car Media Players,DVD
nan,Car Media Players,USB
nan,Car Media Players,BT
nan,Car Media Players,GPS
nan,Gaming Accessories,Gaming Accessories
nan,Gaming Accessories,GPU
nan,Gaming Accessories,CPU
nan,Gaming Accessories,RAM
nan,Gaming Accessories,RGB
nan,Gaming Accessories,PSU
nan,Smart Glasses,Smart Glasses
nan,Smart Glasses,AR
nan,Smart Glasses,VR
nan,Decor lighting & Accessories,Decor lighting & Accessories
nan,Decor lighting & Accessories,LED
nan,Decor lighting & Accessories,CFL
nan,Utility Lighting,Utility Lighting
nan,Utility Lighting,LED
nan,Utility Lighting,CFL
nan,Table Lamps,Table Lamps
nan,Table Lamps,LED
nan,Table Lamps,CFL
nan,Automation & Robotics,Automation & Robotics
nan,Automation & Robotics,AI
nan,Automation & Robotics,ML
nan,Automation & Robotics,PLC
nan,Automation & Robotics,SCADA
nan,Automation & Robotics,CNC
